2013,1,7.9061
2013,2,7.9308
2013,3,7.9484
2013,4,7.96
2013,5,7.9622
2013,6,7.9725
2013,7,7.9185
2013,8,7.8719
2013,9,7.8429
2013,10,7.8521
2013,11,7.8666
2013,12,7.8732
2014,1,7.8884
2014,2,7.9181
2014,3,7.9488
2014,4,7.963
2014,5,7.9821
2014,6,7.9559
2014,7,7.8947
2014,8,7.8615
2014,9,7.8409
2014,10,7.8338
2014,11,7.8566
2014,12,7.8737
2015,1,7.9226
2015,2,7.9721
2015,3,7.9786
2015,4,7.9883
2015,5,8.015
2015,6,8.0064
2015,7,7.9445
2015,8,7.8955
2015,9,7.866
2015,10,7.8572
2015,11,7.8778
2015,12,7.9136
2016,1,7.9537
2016,2,7.9684
2016,3,7.978
2016,4,7.9884
2016,5,8.0232
2016,6,7.9668
2016,7,7.9093
2016,8,7.8787
2016,9,7.864
2016,10,7.874
2016,11,7.8977
2016,12,7.9405
2017,1,7.9662
2017,2,7.9893
2017,3,7.995
2017,4,7.9943
2017,5,8.0173
2017,6,8.0069
2017,7,7.9624
2017,8,7.9174
2017,9,7.894
2017,10,7.8942
2017,11,7.8965
2017,12,7.9194
2018,1,7.9289
2018,2,7.9407
2018,3,7.951
2018,4,7.9576
2018,5,8.0201
2018,6,7.986
2018,7,7.901
2018,8,7.859
2018,9,7.8234
2018,10,7.8205
2018,11,7.8414
2018,12,7.8833
2019,1,7.9276
2019,2,7.9383
2019,3,7.9498
2019,4,7.9648
2019,5,8.0006
2019,6,7.9372
2019,7,7.8866
2019,8,7.8636
2019,9,7.8521
2019,10,7.8475
2019,11,7.845
2019,12,7.8682
2020,1,7.9334
2020,2,7.9595
2020,3,7.9639
2020,4,7.9679
2020,5,7.9768
2020,6,7.9627
2020,7,7.9129
2020,8,7.8834
2020,9,7.8684
2020,10,7.8454
2020,11,7.8686
2020,12,7.9087
2021,1,7.9313
2021,2,7.9464
2021,3,7.9565
2021,4,7.9544
2021,5,7.9829
2021,6,7.9791
2021,7,7.9068
2021,8,7.8543
2021,9,7.8261
2021,10,7.8415
2021,11,7.863
2021,12,7.9098
2022,1,7.9263
2022,2,7.9349
2022,3,7.9384
2022,4,7.9529
2022,5,7.9744
2022,6,7.9643
2022,7,7.8963
2022,8,7.848
2022,9,7.8152
2022,10,7.817
2022,11,7.8368
2022,12,7.8441
