2013,1,0.82913
2013,2,0.63764
2013,3,0.25311
2013,4,0.21532
2013,5,0.64804
2013,6,1.5257
2013,7,2.3768
2013,8,2.9827
2013,9,3.4422
2013,10,3.7515
2013,11,3.8149
2013,12,3.0491
2014,1,2.7572
2014,2,2.3082
2014,3,1.5473
2014,4,1.8374
2014,5,2.6585
2014,6,3.364
2014,7,3.8904
2014,8,4.2779
2014,9,4.6523
2014,10,4.3817
2014,11,4.2317
2014,12,4.1765
2015,1,3.4675
2015,2,2.2379
2015,3,2.0922
2015,4,2.1261
2015,5,2.8676
2015,6,3.8214
2015,7,4.361
2015,8,4.778
2015,9,5.1031
2015,10,5.1978
2015,11,4.9262
2015,12,4.1397
2016,1,3.4673
2016,2,3.0121
2016,3,2.7994
2016,4,3.1449
2016,5,4.177
2016,6,4.8827
2016,7,5.4017
2016,8,5.9178
2016,9,6.1634
2016,10,6.2391
2016,11,5.5592
2016,12,4.0548
2017,1,2.8663
2017,2,1.4096
2017,3,0.51218
2017,4,0.29567
2017,5,1.2016
2017,6,1.9166
2017,7,2.6397
2017,8,3.3381
2017,9,3.6874
2017,10,4.138
2017,11,3.9076
2017,12,3.3289
2018,1,2.5549
2018,2,1.6748
2018,3,1.5583
2018,4,2.0781
2018,5,3.2214
2018,6,3.9631
2018,7,4.5348
2018,8,5.1392
2018,9,5.467
2018,10,5.6261
2018,11,5.2053
2018,12,3.8574
2019,1,2.3666
2019,2,2.134
2019,3,2.2371
2019,4,2.79
2019,5,3.3981
2019,6,4.0038
2019,7,4.4193
2019,8,4.8143
2019,9,5.3271
2019,10,5.4978
2019,11,5.3333
2019,12,4.5728
2020,1,1.881
2020,2,0.55971
2020,3,0.24207
2020,4,0.4824
2020,5,1.285
2020,6,2.2006
2020,7,2.6722
2020,8,3.2445
2020,9,3.927
2020,10,4.0364
2020,11,3.6378
2020,12,2.4304
2021,1,1.5066
2021,2,1.2205
2021,3,0.81531
2021,4,1.0362
2021,5,2.3008
2021,6,3.3293
2021,7,3.9313
2021,8,4.4238
2021,9,4.6914
2021,10,4.5791
2021,11,3.2901
2021,12,1.4024
2022,1,0.58834
2022,2,0.38494
2022,3,0.59963
2022,4,0.51665
2022,5,1.813
2022,6,2.537
2022,7,3.2044
2022,8,3.7531
2022,9,4.176
2022,10,4.3283
2022,11,3.7575
2022,12,3.1725
